mainRibbonTabWorkbenchCapture;Werkbank
ImportWorkTypeMessageboxErrorExistingLong;Ingelezen werksoorten bestaat al in de tabel
ImportWorkTypeMessageboxErrorExistingShort;Werksoorten Bestaat al
ImportWorkTypeButtonLabel;Werksoorten
ImportWorkTypeButtonTooltip;Selecteer het te importeren CSV bestand met werksoorten
ImportWorkTypeFileDialogDescription;Selecteer het te importeren CSV bestand met werksoortenn
ImportWorkTypeFileDialogFilterText;CSV Bestanden
ImportWorkTypeButtonText;Werksoorten
EditWorktypeTitle;Werksoorten beheren
EditWorktypeSubtitle;Wijzig een werksoort, voeg toe of verwijder
EditWorktypeNameLabel;Werksoort:
EditWorktypeNameTag;Werksoort
EditWorktypeNameTooltip;Omschrijving van het soort werkzaamheden (waar heb je aan gewerkt?)
EditWorktypeIdLabel;Id:
EditWorktypeIdTag;Id
EditWorktypeIdTooltip;Id
EditWorktypeParentIdLabel;ParentId:
EditWorktypeParentIdTag;ParentId
EditWorktypeParentIdTooltip;ParentId
EditWorktypeActionTooltipAddTask;Werksoort toevoegen aan de tabel, op niveau van geselecteerde werksoort
EditWorktypeActionTooltipAddSubTask;Werksoort toevoegen aan de tabel, met geselecteerde werksoort als hoofdwerksoort
EditWorktypeActionTooltipDelete;Geselecteerde werksoort, en onderliggende werksoorten, verwijderen uit de tabel
EditWorktypeActionTooltipSave;Gewijzigde werksoort opslaan
EditWorktypeActionContextMenuLabelExpand;Werksoorten openklappen
EditWorktypeActionContextMenuLabelCollapse;Werksoorten dichtklappen
EditWorktypeActionContextMenuLabelSave;Wijzigingen opslaan
EditWorktypeActionContextMenuLabelAddTask;Werksoort toevoegen
EditWorktypeActionContextMenuLabelAddSubTask;Subwerksoort toevoegen
EditWorktypeActionContextMenuLabelDeleteTask;Verwijder werksoort
EditWorktypeActionTooltipExpand;Alle (sub)werksoorten openklappen
EditWorktypeActionTooltipCollapse;Alle (sub)werksoorten dicktklappen
EditWorktypeDataGridHeaderId;Id
EditWorktypeDataGridHeaderParentId;ParentId
EditWorktypeDataGridHeaderName;Werksoortnaam
ExportSupplierTitle;Leveranciers Exporteren
ExportSupplierSubtitle;Exporteer leveranciers naar een CSV bestand
ExportSupplierFilename;Leveranciers
ExportSupplierButtonLabel;Leverancier
ExportSupplierButtonTooltip;Selecteer het te importeren CSV bestand met leveranciers
ExportSupplierEmpty;Er zijn geen leveranciers beschikbaar om te exporteren
ExportSupplierButtonText;Leveranciers
ImportSupplierTitle;Leveranciers Importeren
ImportSupplierSubtitle;Importeer leveranciers uit een CSV bestand, hierin staan uitsluitend leveranciernamen
ImportSupplierFilename;Importeer leveranciers
ImportSupplierMessageboxErrorExistingLong;Ingelezen leverancier bestaat al in de tabel
ImportSupplierMessageboxErrorExistingShort;Leverancier Bestaat al
ImportSupplierButtonLabel;Leverancier
ImportSupplierButtonTooltip;Selecteer het te importeren CSV bestand met leveranciers
ImportSupplierFileDialogDescription;Selecteer het te importeren CSV bestand met leveranciers
ImportSupplierFileDialogFilterText;CSV Bestanden
ImportSupplierButtonText;Leveranciers
EditSupplierContactNoContactSelectedError;Geen contactpersoon geselecteerd
EditSupplierNoSupplierSelectedError;Geen leverancier geselecteerd
EditSupplierSupplierCodeEmpty;Niet opgeslagen, geen zoeknaam voor de leverancier ingegeven
EditSupplierSupplierNameEmpty;Niet opgeslagen, geen naam voor de leverancier ingegeven
EditSupplierSupplierCodeAndNameEmpty;Niet opgeslagen, geen zoeknaam en naam voor de leverancier ingegeven
EditSupplierSupplierCodeExcist;Niet opgeslagen, zoeknaam bestaat al
EditSupplierSupplierNameExcist;Niet opgeslagen, naam bestaat al
EditSupplierSupplierCodeAndNameExcist;Niet opgeslagen, zoeknaam en naam bestaan al
EditSupplierAdded;Niewe leverancier opgeslagen
EditSupplierChanged;Leverancier gegevens aangepast
ExportSupplierContactTitle;Contact personen per leverancier Exporteren
ExportSupplierContactSubtitle;Exporteer contact personen per leverancier naar een CSV bestand
ExportSupplierContactFilename;Contact personen per leverancier
ExportSupplierContactButtonLabel;Contact personen
ExportSupplierContactButtonTooltip;Selecteer het te importeren CSV bestand met contact personen per leverancier
ExportSupplierContactEmpty;Er zijn geen contact personen per leverancier beschikbaar om te exporteren
