mainRibbonTabWorkbenchCapture;Werkbank
mainRibbonManageMetadataSupplierContactImportTooltip;Importeer contactpersonen per leveranciers
mainRibbonManageMetadataSupplierContactTypeEditLabel;Functies
mainRibbonManageMetadataSupplierContactTypeEditTooltip;Functies voor contactpersonen beheren
mainRibbonManageMetadataSupplierContactTypeExportHeader;Exporteren
mainRibbonManageMetadataSupplierContactTypeExportTooltip;Exporteer contact functies
mainRibbonManageMetadataSupplierContactTypeImportHeader;Importerens
mainRibbonManageMetadataSupplierContactTypeImportTooltip;Importeer contact functies
mainRibbonManageMetadataUnitGroupHeader;Eenheden beheer
mainRibbonManageMetadataUnitEditLabel;Eenheden
mainRibbonManageMetadataUnitEditTooltip;Beheer Eenheden
mainRibbonManageMetadataUnitExportHeader;Exporteren
mainRibbonManageMetadataUnitExportTooltip;Exporteer eenheden naar een CSV bestand
mainRibbonManageMetadataUnitImportHeader;Importeren
mainRibbonManageMetadataUnitImportTooltip;Importeer eenheden uit een CSV bestand
mainRibbonManageMetadataWorktypeGroupHeader;Werksoorten beheren
mainRibbonManageMetadataWorktypeEditLabel;Werksoorten
mainRibbonManageMetadataWorktypeEditTooltip;Werksoorten beheren
mainRibbonManageMetadataWorktypeExportHeader;Exporteren
mainRibbonManageMetadataWorktypeExportTooltip;Exporteer werksoorten
mainRibbonManageMetadataWorktypeImportHeader;Importeren
mainRibbonManageMetadataWorktypeImportTooltip;Importeer werksoorten
ExportButtonLabel;Exporteer
ExportButtonTooltip;Selecteer de map waarin het, te exporteren, CSV bestand komt te staan
ExportButtonFoldername;Geen map geselecteerd!
ImportButtonFilename;Geen CSV-bestand geselecteerd!
ImportButtonPrepareLabel;CSV voorbereiden
ImportButtonPrepareTooltip;Creëer een (leeg) CSV bestand met alleen de noodzakelijke headers voor import, dit bestand kan onder de header worden aangevuld met de te importeren data
ImportButtonLabel;CSV importeren
ImportButtonTooltip;Importeer een CSV bestand
MessageboxDefaultTitle;Mededeling
ImportFileDialogDescription;Map voor voorbereide csv bestand, met noodzakelijke velden
ImportMessageboxErrorUnknown;Onbekende fout
ImportMessageboxErrorUnknownLong;Er is een onbekende fout opgetreden
ImportMessageboxErrorInline;van regel
ImportMessageboxErrorLine;Fout in regel
ImportMessageboxErrorMessage;Fouten gevonden tijdens importeren
ImportMessageboxErrorExistingLong;Bestaat al in de tabel
ImportMessageboxErrorExistingShort;Bestaat al
TimeFormatJaar;jaar
TimeFormatJaren;jaren
TimeFormatMonth;maand
TimeFormatMonths;maanden
TimeFormatWeek;week
TimeFormatWeeks;weken
TimeFormatDay;dag
TimeFormatDays;dagen
TimeFormatHour;uur
TimeFormatHours;uren
TimeFormatMinute;minuut
TimeFormatMinutes;minuten
TimeFormatAnd;en
TimeFormatNoTime;Geen totaaltijd beschikbaar
ExportStatuslineText;Status:
ExportStatuslinePrefixError;Fout in regel
ExportStatuslinePrefixAdded;Toegevoegd:
ExportStatuslineDescription;Geen regels weggeschreven
ExportStatuslineCompletedSingle;regel verwerkt
ExportStatuslineCompletedOkSingle;regels correct weggeschreven
ExportStatuslineCompletedOk;regels correct weggeschreven
ExportStatuslineCompletedErrorSingle;regel overgeslagen vanwege fouten
ExportStatuslineCompletedError;regels overgeslagen vanwege fouten
